quiz_question_id,quiz_id,question_no,question,option_a,option_b,option_c,option_d,correct_ans,level,type,redirect_to,question_image,question_icon,msg_ans_correct,msg_ans_wrong,status,created_by,created_at,updated_by,updated_at,ar_image_ans_correct,ar_video_ans_correct,accimg_ans_correct,ar_image_ans_wrong,ar_video_ans_wrong,accimg_ans_wrong
1,1,1,"Were you able to finish the Workbook for Module 1?","Yes, it was fun and we learnt a lot","Yes, but it was confusing and we did not like it","We only finished some pages","We don't know what the workbook is","Yes, it was fun and we learnt a lot",HARD,MRQ,0,,,"Great! The workbook will help you to practice what you learnt and use it to find your own problem and solve them. ","The workbook has many different activities! It'll be great if you go do them! You can download the workbook from the beginning of the course or the resource section. Take your teacher's help if needed and practice what you learnt. Use it to find your own problem and solve them!",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00",,,,,,
2,1,2,"Which of the following are happening because of global warming? 
Tick all that are true.","Increase in disasters like floods","Poor air quality and health issues","Increase in heat and forest fires","Damages crops and increase in food scarcity","Increase in disasters like floods{{}}Poor air quality and health issues{{}}Increase in heat and forest fires{{}}Damages crops and increase in food scarcity",HARD,MCQ,0,,,"That's right! Global warming cause all of them. This can effect our life, health, food and education a lot so it is important to stop global warming. ","Oh no, You got that wrong! Global warming cause all of these problems. This can effect our life, health, food and education a lot so it important to stop Global Warming. ",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00",,,,,,
3,1,3,"Which of these innovations work towards the Sustainable Development Goals (SDGs)?  
Hint : There are 2 correct answers!","Eco-Friendly wall paint that absorbs pollution","Multi Coloured pen that can have upto 5 colors","Remote controlled fan with lights","A device that stops too much watering of fields","Eco-Friendly wall paint that absorbs pollution{{}}A device that stops too much watering of fields",HARD,MCQ,0,https://student-quiz-images.s3.ap-south-1.amazonaws.com/en/1_3.png,,"Well done! Paints that absorb pollution can help in controlling pollution in cities and help in making cleaner cities. A device to stop over-watering can reduce wastage of water resources. ","That's not right. The right answer is paints that absorb  pollution can help in controlling pollution in cities and help in making cleaner cities. A device to stop over-watering can reduce wastage of water resources.  Multicolor pens and remote fans don't help a lot in achieving any SDG's. ",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00",,,,,,
4,1,4,"You read about the solution of Multipurpose Bags (MBA) in your workbook. Who is this innovation useful for?",Students,Drivers,Fishermen,Farmers,Farmers,HARD,MRQ,0,https://student-quiz-images.s3.ap-south-1.amazonaws.com/en/1_4.png,,"That's correct. As you must have read in the workbook, the bag was made for people working in agricultural farms and fields to carry multiple things together. ","You got that wrong. The bag was made for people working in agricultural farms and fields to carry multiple things together. You can read more about this in the workbook. ",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00",,,,,,
5,1,5,"Which of the SDG's is this solution helping in? 

'Drones being used to plant trees in forest areas where large number of trees have been cut down.' ","Clean Energy For all","Peace and Justice for All ","Gender Equality","Protect Land, Plants & Animals","Protect Land, Plants & Animals",HARD,MRQ,0,https://student-quiz-images.s3.ap-south-1.amazonaws.com/en/1_5.png,,"Good job! As you must have seen in the workbook, the drone planter helps to plants many trees in remote areas and helps to Protect Land Plants & Animals and stop the loss of forest. ","That's wrong. The correct answer is Protect Land Plants & Animals, The drone planter helps plant many trees in remote areas and helps overcome deforestation. You can read about this in the workbook. ",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00",,,,,,
6,1,6,"You read about Thato in your workbook. Which of the following makes Thato's solution of 'Solar School bags' more sustainable? 
Tick all that are true.
","Uses solar energy","Designed so that blind people can also use it","It works on petrol","Bag is made of old used plastic","Uses solar energy{{}}Bag is made of old used plastic",HARD,MCQ,0,https://student-quiz-images.s3.ap-south-1.amazonaws.com/en/1_6.png,,"You got that right! As you must have seen in the workbook, Thato's bag is made of old used plastic and is reusable and it lights lamps using solar energy. These things make it more sustainable. ","You got that wrong! If you read about Thato's bag in your workbook, you'll see that the bag is made of old used plastic and is reusable.  It lights lamps using solar energy. These things make it more sustainable. ",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00",,,,,,
7,1,7,"What is 'sustainability' related to?  ","Making gold coins by using resources. ","Finding ways to use resources carefully","Preparing to live on other planets","Finding places to live during disasters.","Finding ways to use resources carefully",HARD,MRQ,0,,,"That's correct. Sustainability is about using resources carefully so our future generations also have access to them. ","That's' not correct. The correct answer is option B. Sustainability is about using resources carefully so our future generations also have access to them.",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00",,,,,,
8,1,8,"Why are Sustainable Development Goals (SDG) important?
","SDG's are only for people born with problems because others cannot help them.","SDG's are mostly only for politicians and world leaders to follow.  ","SDG's helps us to take care of each other and protect the planet for future generations.","SDG's shows us that there is not much we can do to save the planet and its environment.","SDG's helps us to take care of each other and protect the planet for future generations.",HARD,MRQ,0,https://student-quiz-images.s3.ap-south-1.amazonaws.com/en/1_8.png,,"That's correct. SDG is about using resources carefully so our future generations also have access to them.","That's not right. The right answer in option C. SDG's help to take care of each other and protect the planet for future generations. ",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00",,,,,,
9,1,9,"Which of the following actions would you do if you are an innovator?","Make solutions even if they harm the environment. ","Understand different problems in the community","Find solutions that already exist and make them again.","Make solutions for people who don't want it.","Understand different problems in the community",HARD,MRQ,0,,,"That's right! The first and most important action that an innovator should do it understand their community and the problems in it. Only then can they  find new solutions and solve problems without hurting the environment. ","You got that wrong. The right answer is Option B. The first and most important action that an innovator should do it understand their community and the problems in it. Only then can they  find new solutions and solve problems for people who want it without hurting the environment. ",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00",,,,,,
10,1,10,"Pick all the statements that are true about Social  Innovation.","Social Innovation is a new idea to solve a problem faced by a group of people","Social Innovations make people's lives better by reducing problems","A device that can provide clean drinking water at a low cost is an example of Social Innovation","Social innovation helps to solve a problem faced by only one person","Social Innovation is a new idea to solve a problem faced by a group of people{{}}Social Innovations make people's lives better by reducing problems{{}}A device that can provide clean drinking water at a low cost is an example of Social Innovation",HARD,MCQ,0,,,"You got that right! A Social Innovation is a new idea that solves a problem faced a group of people and makes their lives better.","That's not right. The right anwers are Option A,B and C. Social Innovation is any new idea that solves a problem faced a group of people and makes their lives better. A device to provide clean water is an helpful solution to a lot of people. ",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00",,,,,,
