course_topic_id,course_module_id,topic_type_id,topic_type,title,status,created_by,created_at,updated_by,updated_at
1,1,1,VIDEO,"What is Innovation?",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
2,1,2,VIDEO,"The Innovative Mindset",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
3,1,3,VIDEO,"The Innovation Process",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
4,1,4,VIDEO,"Innovation in Action",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
5,2,5,VIDEO,"Identifying Problems",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
6,2,6,VIDEO,"Turning Problems into Opportunities",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
7,2,7,VIDEO,"Crafting a Value Proposition",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
8,2,8,VIDEO,"Opportunity Validation",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
9,3,9,VIDEO,"Generating Ideas",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
10,3,10,VIDEO,"From Ideas to Concepts",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
11,3,11,VIDEO,"Rapid Prototyping",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
12,3,12,VIDEO,"Testing and Iteration",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
13,4,13,VIDEO,"Validating Your Idea",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
14,4,14,VIDEO,"Understanding Your Market",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
15,4,15,VIDEO,"Defining Your Business Model",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
16,4,16,VIDEO,"Developing a Minimum Viable Product (MVP)",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
17,5,17,VIDEO,"Building Your Team",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
18,5,18,VIDEO,"Creating an Action Plan",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
19,5,19,VIDEO,"Financial Planning Basics",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
20,5,20,VIDEO,"Legal and Ethical Considerations",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00"
